id,customer_text
1,The app keeps crashing when I try to pay.
2,Support team was super helpful and solved my issue quickly.
3,Prices are too high compared to competitors.
4,Love the new design but the navigation feels confusing.
5,My order arrived late and the box was damaged.
6,Feature requests are ignored even after multiple tickets.
7,Great value for money and easy to use overall.
8,Live chat agent was polite but did not resolve my bug.
9,Checkout experience is smooth and I like the saved addresses.
10,I feel the product quality dropped after the last update.
11,Phone support made me wait 30 minutes before talking to someone.
12,App loads fast and I appreciate the frequent improvements.
