response_id,date,channel,region,country,store_id,nps_score,comment_text,segment,product_category
R00001,2025-04-20,Online,US,US,US-US-015,10,Support agent resolved my issue quickly and professionally.,New Customer,Mac
R00002,2024-03-15,Support,EU,NL,EU-NL-015,0,I had to repeat my issue multiple times to different agents.,Business,Services
R00003,2025-01-12,Online,APAC,JP,APAC-JP-005,6,Got what I needed but it took some time.,New Customer,Mac
R00004,2024-04-09,Store,EU,DE,EU-DE-004,10,"Great customer service, felt valued as a customer.",Existing,Apple Watch
R00005,2024-05-28,Store,EU,UK,EU-UK-030,9,Support agent resolved my issue quickly and professionally.,New Customer,Mac
R00006,2025-09-21,Store,APAC,AU,APAC-AU-003,9,Online ordering was simple and delivery was on time.,New Customer,Apple Watch
R00007,2025-04-19,Store,EU,FR,EU-FR-018,9,"Amazing experience overall, I will recommend to others.",Business,Services
R00008,2024-06-20,Store,US,US,US-US-009,9,"Great product experience, everything worked as expected.",Business,Apple Watch
R00009,2024-10-23,Store,EU,IT,EU-IT-001,10,"Checkout was smooth and fast, very satisfied.",Existing,iPad
R00010,2025-04-25,Support,US,US,US-US-021,7,Got my issue resolved but had to wait.,Existing,Mac
R00011,2025-10-27,Online,EU,DE,EU-DE-029,8,Online ordering was simple and delivery was on time.,Existing,iPad
R00012,2025-10-17,Online,US,US,US-US-019,10,"Checkout was smooth and fast, very satisfied.",Existing,iPhone
R00013,2024-09-26,Support,US,US,US-US-025,9,"Checkout was smooth and fast, very satisfied.",Existing,Services
R00014,2025-05-29,Store,US,US,US-US-009,6,Felt like no one was available to help in the store.,New Customer,Apple Watch
R00015,2025-10-21,Support,EU,NL,EU-NL-005,9,"Loved the in-store demo, made my decision easy.",Existing,Mac
R00016,2024-10-13,Store,EU,UK,EU-UK-014,2,Got what I needed but it took some time.,Existing,iPhone
R00017,2024-08-25,Online,EU,ES,EU-ES-016,9,"Checkout was smooth and fast, very satisfied.",Business,iPhone
R00018,2025-04-10,Online,APAC,JP,APAC-JP-012,10,I was impressed with the product quality and attention to detail.,Business,iPhone
R00019,2024-04-30,Online,EU,FR,EU-FR-028,10,"Great product experience, everything worked as expected.",Business,Apple Watch
R00020,2025-03-28,Online,APAC,SG,APAC-SG-026,9,"Loved the in-store demo, made my decision easy.",Existing,Services
R00021,2024-11-24,Store,APAC,IN,APAC-IN-017,7,"Amazing experience overall, I will recommend to others.",New Customer,Services
R00022,2025-04-05,Store,EU,IT,EU-IT-022,3,Overall acceptable experience.,New Customer,Services
R00023,2024-02-17,Store,US,US,US-US-014,10,"Checkout was smooth and fast, very satisfied.",Business,Services
R00024,2024-05-18,Online,APAC,JP,APAC-JP-010,10,Online ordering was simple and delivery was on time.,Existing,Apple Watch
R00025,2025-06-18,Online,EU,FR,EU-FR-029,10,Online ordering was simple and delivery was on time.,Business,Services
R00026,2025-08-07,Store,US,US,US-US-009,9,"Checkout was smooth and fast, very satisfied.",Existing,iPhone
R00027,2024-04-25,Online,US,US,US-US-023,10,"Loved the in-store demo, made my decision easy.",New Customer,Mac
R00028,2025-01-04,Store,US,US,US-US-017,10,"Loved the in-store demo, made my decision easy.",Business,Apple Watch
R00029,2024-12-04,Support,US,US,US-US-014,10,Online ordering was simple and delivery was on time.,New Customer,iPhone
R00030,2025-11-13,Online,APAC,JP,APAC-JP-006,5,Website was fine but could be more intuitive.,Existing,Services
R00031,2024-09-10,Store,APAC,SG,APAC-SG-020,9,Staff was extremely helpful and friendly.,Business,iPhone
R00032,2024-01-20,Store,US,US,US-US-022,7,Overall acceptable experience.,Existing,iPad
R00033,2024-05-19,Online,US,US,US-US-019,9,"Checkout was smooth and fast, very satisfied.",Existing,Services
R00034,2024-07-17,Support,US,US,US-US-022,10,"Great product experience, everything worked as expected.",New Customer,Apple Watch
R00035,2025-06-07,Online,US,US,US-US-028,7,Staff was extremely helpful and friendly.,Existing,Mac
R00036,2024-12-28,Store,EU,UK,EU-UK-015,9,"Great product experience, everything worked as expected.",New Customer,Apple Watch
R00037,2025-08-15,Support,EU,UK,EU-UK-001,3,Delivery was delayed and communication was poor.,Existing,iPhone
R00038,2024-01-17,Store,EU,ES,EU-ES-021,1,Got my issue resolved but had to wait.,Existing,Services
R00039,2024-09-11,Store,US,US,US-US-025,8,Very clear explanations and patient staff.,New Customer,iPhone
R00040,2025-02-20,Online,EU,DE,EU-DE-013,8,Online ordering was simple and delivery was on time.,New Customer,Mac
R00041,2025-04-16,Store,US,US,US-US-001,8,"Amazing experience overall, I will recommend to others.",Business,iPad
R00042,2025-03-17,Support,US,US,US-US-017,6,Overall acceptable experience.,Existing,iPad
R00043,2024-04-24,Online,EU,NL,EU-NL-021,7,Online ordering was simple and delivery was on time.,New Customer,Apple Watch
R00044,2024-04-09,Online,US,US,US-US-026,10,Staff was extremely helpful and friendly.,Business,iPhone
R00045,2024-09-08,Support,EU,IT,EU-IT-016,10,"Great customer service, felt valued as a customer.",Business,Services
R00046,2025-01-22,Store,EU,FR,EU-FR-005,10,Online ordering was simple and delivery was on time.,Existing,Services
R00047,2025-06-25,Store,US,US,US-US-015,10,"Great product experience, everything worked as expected.",New Customer,iPad
R00048,2024-08-01,Store,EU,DE,EU-DE-009,10,"Great customer service, felt valued as a customer.",Existing,iPad
R00049,2025-08-14,Support,APAC,IN,APAC-IN-030,7,"Amazing experience overall, I will recommend to others.",Existing,Services
R00050,2024-09-15,Support,APAC,KR,APAC-KR-012,8,Things worked but could be smoother.,Existing,iPhone
R00051,2025-02-03,Store,APAC,KR,APAC-KR-005,6,"Product information was unclear, hard to compare options.",New Customer,iPad
R00052,2024-09-22,Store,APAC,JP,APAC-JP-006,7,"Experience was okay, nothing special.",New Customer,iPad
R00053,2025-10-09,Online,US,US,US-US-019,9,"Loved the in-store demo, made my decision easy.",Existing,Apple Watch
R00054,2024-07-05,Store,US,US,US-US-021,8,Support answered my questions but felt a bit slow.,Business,iPad
R00055,2025-02-25,Online,EU,FR,EU-FR-026,4,"Checkout process kept failing, very frustrating.",Existing,iPad
R00056,2025-11-01,Online,EU,IT,EU-IT-012,8,"Great product experience, everything worked as expected.",New Customer,Services
R00057,2024-12-31,Online,APAC,IN,APAC-IN-001,9,"Loved the in-store demo, made my decision easy.",Business,Apple Watch
R00058,2025-11-07,Online,EU,FR,EU-FR-001,8,Got my issue resolved but had to wait.,New Customer,Mac
R00059,2025-10-21,Store,US,US,US-US-022,10,"Amazing experience overall, I will recommend to others.",Business,Apple Watch
R00060,2025-07-01,Support,APAC,JP,APAC-JP-013,9,I was impressed with the product quality and attention to detail.,Existing,Apple Watch
R00061,2024-02-17,Online,EU,DE,EU-DE-006,10,Online ordering was simple and delivery was on time.,Existing,iPhone
R00062,2025-01-17,Store,US,US,US-US-013,9,Staff was extremely helpful and friendly.,New Customer,iPad
R00063,2024-08-21,Online,EU,NL,EU-NL-010,9,Support agent resolved my issue quickly and professionally.,Business,Mac
R00064,2025-10-28,Online,US,US,US-US-011,10,Staff was extremely helpful and friendly.,Existing,Apple Watch
R00065,2025-09-04,Store,APAC,IN,APAC-IN-019,10,"Loved the in-store demo, made my decision easy.",New Customer,Services
R00066,2025-06-23,Support,EU,UK,EU-UK-009,9,"Amazing experience overall, I will recommend to others.",Business,Apple Watch
R00067,2025-02-16,Store,US,US,US-US-008,9,"Loved the in-store demo, made my decision easy.",Existing,Mac
R00068,2025-06-16,Store,US,US,US-US-012,6,Got my issue resolved but had to wait.,New Customer,Mac
R00069,2024-11-13,Support,APAC,IN,APAC-IN-001,10,"Great customer service, felt valued as a customer.",Existing,Apple Watch
R00070,2024-01-28,Online,US,US,US-US-003,10,"Checkout was smooth and fast, very satisfied.",Existing,iPad
R00071,2024-05-06,Online,EU,UK,EU-UK-001,10,Support agent resolved my issue quickly and professionally.,New Customer,Mac
R00072,2024-04-06,Store,US,US,US-US-010,7,Things worked but could be smoother.,Existing,Services
R00073,2024-11-15,Support,EU,FR,EU-FR-006,4,Experience was decent but room for improvement.,Existing,Services
R00074,2024-09-11,Store,EU,IT,EU-IT-029,7,Things worked but could be smoother.,New Customer,Mac
R00075,2025-07-25,Store,EU,NL,EU-NL-015,8,"The process was average, neither good nor bad.",New Customer,Apple Watch
R00076,2025-07-15,Store,US,US,US-US-012,9,Online ordering was simple and delivery was on time.,Business,Services
R00077,2025-04-03,Store,US,US,US-US-008,1,The store was a bit crowded but manageable.,New Customer,Services
R00078,2024-06-03,Store,US,US,US-US-015,4,Things worked but could be smoother.,Existing,iPad
R00079,2024-05-09,Online,US,US,US-US-015,4,Got my issue resolved but had to wait.,New Customer,Mac
R00080,2024-03-27,Support,US,US,US-US-013,8,I was impressed with the product quality and attention to detail.,Existing,iPad
R00081,2024-11-16,Store,EU,DE,EU-DE-014,1,I had to repeat my issue multiple times to different agents.,Existing,iPad
R00082,2024-11-08,Online,US,US,US-US-015,7,"Experience was okay, nothing special.",Existing,Apple Watch
R00083,2024-06-20,Support,US,US,US-US-023,7,Overall acceptable experience.,Existing,Services
R00084,2024-08-24,Online,APAC,IN,APAC-IN-028,1,The store was overcrowded and disorganized.,Existing,Apple Watch
R00085,2025-07-03,Store,EU,NL,EU-NL-004,4,The store was a bit crowded but manageable.,New Customer,Services
R00086,2024-03-29,Store,APAC,IN,APAC-IN-007,9,"Amazing experience overall, I will recommend to others.",New Customer,iPad
R00087,2025-06-14,Store,EU,DE,EU-DE-007,8,"Experience was okay, nothing special.",New Customer,iPhone
R00088,2024-02-15,Online,US,US,US-US-021,8,The store was a bit crowded but manageable.,Business,iPhone
R00089,2024-12-05,Store,US,US,US-US-004,10,I was impressed with the product quality and attention to detail.,New Customer,Apple Watch
R00090,2025-08-15,Online,US,US,US-US-012,9,Staff was extremely helpful and friendly.,New Customer,iPhone
R00091,2024-06-22,Support,APAC,IN,APAC-IN-008,6,"Product information was unclear, hard to compare options.",New Customer,Apple Watch
R00092,2025-03-26,Support,EU,ES,EU-ES-011,4,"Experience was okay, nothing special.",Existing,iPhone
R00093,2025-10-29,Store,EU,UK,EU-UK-018,8,"Great customer service, felt valued as a customer.",Business,iPhone
R00094,2025-10-09,Online,US,US,US-US-007,7,"Amazing experience overall, I will recommend to others.",Business,Services
R00095,2024-01-08,Support,US,US,US-US-025,10,"Loved the in-store demo, made my decision easy.",New Customer,iPhone
R00096,2025-07-28,Support,APAC,SG,APAC-SG-005,0,The store was overcrowded and disorganized.,Existing,Mac
R00097,2025-10-06,Store,US,US,US-US-023,9,"Great product experience, everything worked as expected.",Existing,Apple Watch
R00098,2024-12-01,Online,US,US,US-US-015,7,"Checkout was smooth and fast, very satisfied.",Business,Services
R00099,2025-07-24,Online,EU,FR,EU-FR-027,10,Online ordering was simple and delivery was on time.,Business,Apple Watch
R00100,2024-08-27,Store,US,US,US-US-020,2,Did not feel valued as a customer during this visit.,New Customer,iPad
R00101,2024-09-22,Online,EU,IT,EU-IT-008,2,Support answered my questions but felt a bit slow.,Existing,Apple Watch
R00102,2024-02-17,Store,APAC,JP,APAC-JP-027,8,The store was a bit crowded but manageable.,Existing,iPad
R00103,2024-02-25,Online,APAC,IN,APAC-IN-022,9,Staff was extremely helpful and friendly.,Existing,Services
R00104,2024-11-30,Support,US,US,US-US-019,2,Support could not resolve my issue on the first call.,Existing,Mac
R00105,2024-12-28,Store,EU,ES,EU-ES-002,9,"Great product experience, everything worked as expected.",New Customer,Mac
R00106,2024-01-31,Online,US,US,US-US-019,7,Support agent resolved my issue quickly and professionally.,Existing,Apple Watch
